# mu_B [MeV]     	| T_c [MeV]      
 0.0000000000e+00	 1.5486301370e+02
 3.0000000000e+01	 1.5478473581e+02
 6.0000000000e+01	 1.5451076321e+02
 9.0000000000e+01	 1.5404109589e+02
 1.2000000000e+02	 1.5323679061e+02
 1.5000000000e+02	 1.5223679061e+02
 1.8000000000e+02	 1.5104109589e+02
 2.1000000000e+02	 1.4935420744e+02
 2.4000000000e+02	 1.4778473581e+02
 2.7000000000e+02	 1.4600195695e+02
 3.0000000000e+02	 1.4401956947e+02
 3.3000000000e+02	 1.4198630137e+02
 3.6000000000e+02	 1.3971232877e+02
 3.9000000000e+02	 1.3730136986e+02
 4.2000000000e+02	 1.3446575342e+02
 4.5000000000e+02	 1.3173972603e+02
 4.8000000000e+02	 1.2867710372e+02
 5.1000000000e+02	 1.2559882583e+02
 5.4000000000e+02	 1.2254011742e+02
 5.7000000000e+02	 1.1938356164e+02
 6.0000000000e+02	 1.1565000000e+02
 6.0300000000e+02	 1.1545000000e+02
 6.0600000000e+02	 1.1505000000e+02
 6.0900000000e+02	 1.1485000000e+02
 6.1200000000e+02	 1.1445000000e+02
 6.1500000000e+02	 1.1425000000e+02
 6.1800000000e+02	 1.1385000000e+02
 6.2100000000e+02	 1.1345000000e+02
 6.2400000000e+02	 1.1315000000e+02
 6.2700000000e+02	 1.1285000000e+02
 6.3000000000e+02	 1.1245000000e+02
 6.3300000000e+02	 1.1215000000e+02
 6.3600000000e+02	 1.1185000000e+02
