# mu [GeV]       	| T [GeV]        	| cond           	| susc           
 0.0000000000e+00	 1.2500000000e-01	 4.0328588662e-02	 9.3390156727e-03
 0.0000000000e+00	 1.3000000000e-01	 5.2079738631e-02	 1.3560250694e-02
 0.0000000000e+00	 1.3500000000e-01	 6.7355877820e-02	 1.9724001025e-02
 0.0000000000e+00	 1.4000000000e-01	 8.8988443296e-02	 2.9473933340e-02
 0.0000000000e+00	 1.4500000000e-01	 1.1771002048e-01	 4.4453714477e-02
 0.0000000000e+00	 1.5000000000e-01	 1.5496829657e-01	 6.5597245838e-02
 0.0000000000e+00	 1.5500000000e-01	 1.9824216935e-01	 8.4872974180e-02
 0.0000000000e+00	 1.6000000000e-01	 2.3677146641e-01	 8.7413186380e-02
 0.0000000000e+00	 1.6500000000e-01	 2.6629591941e-01	 7.5758094902e-02
 0.0000000000e+00	 1.7000000000e-01	 2.8662508866e-01	 6.1749571419e-02
 0.0000000000e+00	 1.7500000000e-01	 3.0086028973e-01	 4.9907699586e-02
 0.0000000000e+00	 1.8000000000e-01	 3.1087029141e-01	 4.0830176399e-02
 0.0000000000e+00	 1.8500000000e-01	 3.1836239283e-01	 3.3769880546e-02
 0.0000000000e+00	 1.9000000000e-01	 3.2413123621e-01	 2.8203827267e-02
 0.0000000000e+00	 1.9500000000e-01	 3.2868410163e-01	 2.3795811837e-02
 0.0000000000e+00	 2.0000000000e-01	 3.3246819453e-01	 2.0060205589e-02
 0.0000000000e+00	 2.0500000000e-01	 3.3546720022e-01	 1.7109076641e-02
 0.0000000000e+00	 2.1000000000e-01	 3.3813310165e-01	 1.4456796217e-02
 0.0000000000e+00	 2.1500000000e-01	 3.4044790692e-01	 1.2178076398e-02
 0.0000000000e+00	 2.2000000000e-01	 3.4247169067e-01	 1.0160849011e-02
 0.0000000000e+00	 2.2500000000e-01	 3.4407388457e-01	 8.5545383203e-03
 0.0000000000e+00	 2.3000000000e-01	 3.4562957398e-01	 7.0229397608e-03
 0.0000000000e+00	 2.3500000000e-01	 3.4683604774e-01	 5.8275457657e-03
 0.0000000000e+00	 2.4000000000e-01	 3.4810381594e-01	 4.5574396393e-03
 0.0000000000e+00	 2.4500000000e-01	 3.4904315573e-01	 3.6235380243e-03
 0.0000000000e+00	 2.5000000000e-01	 3.5011524931e-01	 2.5402122528e-03


 2.0000000000e-02	 1.0000000000e-01	 1.3497939785e-02	 9.7125760105e-04
 2.0000000000e-02	 1.0500000000e-01	 1.6478038736e-02	 1.8304470317e-03
 2.0000000000e-02	 1.1000000000e-01	 2.0223809908e-02	 3.7729623400e-03
 2.0000000000e-02	 1.1500000000e-01	 2.5215291412e-02	 4.4827275080e-03
 2.0000000000e-02	 1.2000000000e-01	 3.1752958134e-02	 6.5746670259e-03
 2.0000000000e-02	 1.2500000000e-01	 4.0706215254e-02	 9.5631520136e-03
 2.0000000000e-02	 1.3000000000e-01	 5.2685974161e-02	 1.3896455259e-02
 2.0000000000e-02	 1.3500000000e-01	 6.8303603668e-02	 2.0284341983e-02
 2.0000000000e-02	 1.4000000000e-01	 9.0471046971e-02	 3.0445190994e-02
 2.0000000000e-02	 1.4500000000e-01	 1.1994635260e-01	 4.6097381207e-02
 2.0000000000e-02	 1.5000000000e-01	 1.5804094708e-01	 6.7838609618e-02
 2.0000000000e-02	 1.5500000000e-01	 2.0162855996e-01	 8.6217792438e-02
 2.0000000000e-02	 1.6000000000e-01	 2.3958282778e-01	 8.7151694000e-02
 2.0000000000e-02	 1.6500000000e-01	 2.6826308458e-01	 7.4674769077e-02
 2.0000000000e-02	 1.7000000000e-01	 2.8796345219e-01	 6.0740957726e-02
 2.0000000000e-02	 1.7500000000e-01	 3.0179556356e-01	 4.9048510155e-02
 2.0000000000e-02	 1.8000000000e-01	 3.1155200144e-01	 4.0232479402e-02
 2.0000000000e-02	 1.8500000000e-01	 3.1887943123e-01	 3.3284251719e-02
 2.0000000000e-02	 1.9000000000e-01	 3.2453351272e-01	 2.7830266610e-02
 2.0000000000e-02	 1.9500000000e-01	 3.2900754922e-01	 2.3496963365e-02
 2.0000000000e-02	 2.0000000000e-01	 3.3273212655e-01	 1.9836069248e-02


 4.0000000000e-02	 1.0000000000e-01	 1.3519743528e-02	 1.0459697324e-03
 4.0000000000e-02	 1.0500000000e-01	 1.6573792235e-02	 1.9051592161e-03
 4.0000000000e-02	 1.1000000000e-01	 2.0442558879e-02	 3.1752652895e-03
 4.0000000000e-02	 1.1500000000e-01	 2.5627224592e-02	 4.7442199412e-03
 4.0000000000e-02	 1.2000000000e-01	 3.2464908780e-02	 6.9855836686e-03
 4.0000000000e-02	 1.2500000000e-01	 4.1889411358e-02	 1.0534409615e-02
 4.0000000000e-02	 1.3000000000e-01	 5.4596978179e-02	 1.4979781084e-02
 4.0000000000e-02	 1.3500000000e-01	 7.1312621802e-02	 2.2189501146e-02
 4.0000000000e-02	 1.4000000000e-01	 9.5213030636e-02	 3.4068729019e-02
 4.0000000000e-02	 1.4500000000e-01	 1.2709604886e-01	 5.1476654238e-02
 4.0000000000e-02	 1.5000000000e-01	 1.6766834136e-01	 7.4450632736e-02
 4.0000000000e-02	 1.5500000000e-01	 2.1173462008e-01	 8.9430413820e-02
 4.0000000000e-02	 1.6000000000e-01	 2.4762917118e-01	 8.5246534784e-02
 4.0000000000e-02	 1.6500000000e-01	 2.7381937959e-01	 7.1387435564e-02
 4.0000000000e-02	 1.7000000000e-01	 2.9175237343e-01	 5.7827184870e-02
 4.0000000000e-02	 1.7500000000e-01	 3.0446039767e-01	 4.6732434296e-02
 4.0000000000e-02	 1.8000000000e-01	 3.1350691789e-01	 3.8402032317e-02
 4.0000000000e-02	 1.8500000000e-01	 3.2037026849e-01	 3.1864721330e-02
 4.0000000000e-02	 1.9000000000e-01	 3.2569897104e-01	 2.6709584746e-02
 4.0000000000e-02	 1.9500000000e-01	 3.2994851540e-01	 2.2563061750e-02
 4.0000000000e-02	 2.0000000000e-01	 3.3350222051e-01	 1.9088947935e-02


 6.0000000000e-02	 1.0000000000e-01	 1.3556133923e-02	 1.1206818638e-03
 6.0000000000e-02	 1.0500000000e-01	 1.6741106736e-02	 2.0545834257e-03
 6.0000000000e-02	 1.1000000000e-01	 2.0828927297e-02	 3.4367577225e-03
 6.0000000000e-02	 1.1500000000e-01	 2.6361283928e-02	 5.1924926760e-03
 6.0000000000e-02	 1.2000000000e-01	 3.3747568577e-02	 7.7327049288e-03
 6.0000000000e-02	 1.2500000000e-01	 4.4047473634e-02	 1.1468311230e-02
 6.0000000000e-02	 1.3000000000e-01	 5.8131624067e-02	 1.7146432680e-02
 6.0000000000e-02	 1.3500000000e-01	 7.6967109886e-02	 2.5925107394e-02
 6.0000000000e-02	 1.4000000000e-01	 1.0423596825e-01	 4.0381903611e-02
 6.0000000000e-02	 1.4500000000e-01	 1.4061711382e-01	 6.2048419944e-02
 6.0000000000e-02	 1.5000000000e-01	 1.8485421395e-01	 8.4985042351e-02
