# im mu / T      	| T [GeV]        	| cond           	| susc           
 0.0000000000e+00	 1.2500000000e-01	 4.0328588662e-02	 9.3390156727e-03
 0.0000000000e+00	 1.3000000000e-01	 5.2079738631e-02	 1.3560250694e-02
 0.0000000000e+00	 1.3500000000e-01	 6.7355877820e-02	 1.9724001025e-02
 0.0000000000e+00	 1.4000000000e-01	 8.8988443296e-02	 2.9473933340e-02
 0.0000000000e+00	 1.4500000000e-01	 1.1771002048e-01	 4.4453714477e-02
 0.0000000000e+00	 1.5000000000e-01	 1.5496829657e-01	 6.5597245838e-02
 0.0000000000e+00	 1.5500000000e-01	 1.9824216935e-01	 8.4872974180e-02
 0.0000000000e+00	 1.6000000000e-01	 2.3677146641e-01	 8.7413186380e-02
 0.0000000000e+00	 1.6500000000e-01	 2.6629591941e-01	 7.5758094902e-02
 0.0000000000e+00	 1.7000000000e-01	 2.8662508866e-01	 6.1749571419e-02
 0.0000000000e+00	 1.7500000000e-01	 3.0086028973e-01	 4.9907699586e-02
 0.0000000000e+00	 1.8000000000e-01	 3.1087029141e-01	 4.0830176399e-02
 0.0000000000e+00	 1.8500000000e-01	 3.1836239283e-01	 3.3769880546e-02
 0.0000000000e+00	 1.9000000000e-01	 3.2413123621e-01	 2.8203827267e-02
 0.0000000000e+00	 1.9500000000e-01	 3.2868410163e-01	 2.3795811837e-02
 0.0000000000e+00	 2.0000000000e-01	 3.3246819453e-01	 2.0060205589e-02
 0.0000000000e+00	 2.0500000000e-01	 3.3546720022e-01	 1.7109076641e-02
 0.0000000000e+00	 2.1000000000e-01	 3.3813310165e-01	 1.4456796217e-02
 0.0000000000e+00	 2.1500000000e-01	 3.4044790692e-01	 1.2178076398e-02
 0.0000000000e+00	 2.2000000000e-01	 3.4247169067e-01	 1.0160849011e-02
 0.0000000000e+00	 2.2500000000e-01	 3.4407388457e-01	 8.5545383203e-03
 0.0000000000e+00	 2.3000000000e-01	 3.4562957398e-01	 7.0229397608e-03
 0.0000000000e+00	 2.3500000000e-01	 3.4683604774e-01	 5.8275457657e-03
 0.0000000000e+00	 2.4000000000e-01	 3.4810381594e-01	 4.5574396393e-03
 0.0000000000e+00	 2.4500000000e-01	 3.4904315573e-01	 3.6235380243e-03
 0.0000000000e+00	 2.5000000000e-01	 3.5011524931e-01	 2.5402122528e-03


 2.6166666700e-01	 1.2500000000e-01	 3.9356467017e-02	 8.8533867926e-03
 2.6166666700e-01	 1.3000000000e-01	 5.0406085379e-02	 1.2626349133e-02
 2.6166666700e-01	 1.3500000000e-01	 6.4562660831e-02	 1.8117690334e-02
 2.6166666700e-01	 1.4000000000e-01	 8.4332556460e-02	 2.6448092313e-02
 2.6166666700e-01	 1.4500000000e-01	 1.1021974875e-01	 3.9149153577e-02
 2.6166666700e-01	 1.5000000000e-01	 1.4380747404e-01	 5.7565692436e-02
 2.6166666700e-01	 1.5500000000e-01	 1.8443379306e-01	 7.8111526853e-02
 2.6166666700e-01	 1.6000000000e-01	 2.2377653745e-01	 8.7375830341e-02
 2.6166666700e-01	 1.6500000000e-01	 2.5632281637e-01	 8.0203466318e-02
 2.6166666700e-01	 1.7000000000e-01	 2.7939010877e-01	 6.6904708056e-02
 2.6166666700e-01	 1.7500000000e-01	 2.9552930007e-01	 5.4353071055e-02
 2.6166666700e-01	 1.8000000000e-01	 3.0678602857e-01	 4.4528426555e-02
 2.6166666700e-01	 1.8500000000e-01	 3.1511099230e-01	 3.6833077665e-02
 2.6166666700e-01	 1.9000000000e-01	 3.2147773597e-01	 3.0706683427e-02
 2.6166666700e-01	 1.9500000000e-01	 3.2644609230e-01	 2.5925107394e-02
 2.6166666700e-01	 2.0000000000e-01	 3.3055551330e-01	 2.1928008766e-02
 2.6166666700e-01	 2.0500000000e-01	 3.3378871864e-01	 1.8752743424e-02
 2.6166666700e-01	 2.1000000000e-01	 3.3665309003e-01	 1.5951038738e-02
 2.6166666700e-01	 2.1500000000e-01	 3.3912941579e-01	 1.3485538616e-02
 2.6166666700e-01	 2.2000000000e-01	 3.4127970191e-01	 1.1356243059e-02
 2.6166666700e-01	 2.2500000000e-01	 3.4297841168e-01	 9.6752201841e-03
 2.6166666700e-01	 2.3000000000e-01	 3.4462182431e-01	 7.9941973619e-03
 2.6166666700e-01	 2.3500000000e-01	 3.4589569145e-01	 6.7240912354e-03
 2.6166666700e-01	 2.4000000000e-01	 3.4722683790e-01	 5.4539851622e-03
 2.6166666700e-01	 2.4500000000e-01	 3.4821598577e-01	 4.4453714158e-03
 2.6166666700e-01	 2.5000000000e-01	 3.4934007290e-01	 3.3246896051e-03


 3.9266666700e-01	 1.2500000000e-01	 3.8211694292e-02	 8.2556897950e-03
 3.9266666700e-01	 1.3000000000e-01	 4.8463925897e-02	 1.1617735439e-02
 3.9266666700e-01	 1.3500000000e-01	 6.1374536894e-02	 1.6324599288e-02
 3.9266666700e-01	 1.4000000000e-01	 7.9116836932e-02	 2.3310183010e-02
 3.9266666700e-01	 1.4500000000e-01	 1.0194052715e-01	 3.3620456337e-02
 3.9266666700e-01	 1.5000000000e-01	 1.3134630476e-01	 4.8749661683e-02
 3.9266666700e-01	 1.5500000000e-01	 1.6792673350e-01	 6.8025389920e-02
 3.9266666700e-01	 1.6000000000e-01	 2.0642121572e-01	 8.3378731660e-02
 3.9266666700e-01	 1.6500000000e-01	 2.4191684473e-01	 8.3901716526e-02
 3.9266666700e-01	 1.7000000000e-01	 2.6869514429e-01	 7.3329950819e-02
 3.9266666700e-01	 1.7500000000e-01	 2.8767410789e-01	 6.0479465293e-02
 3.9266666700e-01	 1.8000000000e-01	 3.0083035406e-01	 4.9683563245e-02
 3.9266666700e-01	 1.8500000000e-01	 3.1042145959e-01	 4.1129024872e-02
 3.9266666700e-01	 1.9000000000e-01	 3.1768942463e-01	 3.4330221505e-02
 3.9266666700e-01	 1.9500000000e-01	 3.2327773912e-01	 2.9025660605e-02
 3.9266666700e-01	 2.0000000000e-01	 3.2786862132e-01	 2.4542933097e-02
 3.9266666700e-01	 2.0500000000e-01	 3.3144362192e-01	 2.1068819282e-02
 3.9266666700e-01	 2.1000000000e-01	 3.3459708350e-01	 1.7968266071e-02
 3.9266666700e-01	 2.1500000000e-01	 3.3730750726e-01	 1.5315985648e-02
 3.9266666700e-01	 2.2000000000e-01	 3.3963979617e-01	 1.2962553697e-02
 3.9266666700e-01	 2.2500000000e-01	 3.4147654549e-01	 1.1132106665e-02
 3.9266666700e-01	 2.3000000000e-01	 3.4324508822e-01	 9.3763717118e-03
 3.9266666700e-01	 2.3500000000e-01	 3.4461440392e-01	 8.0315534541e-03
 3.9266666700e-01	 2.4000000000e-01	 3.4603525574e-01	 6.6120230650e-03
 3.9266666700e-01	 2.4500000000e-01	 3.4709443988e-01	 5.5660532795e-03
 3.9266666700e-01	 2.5000000000e-01	 3.4829181604e-01	 4.3706593376e-03


 5.2333333300e-01	 1.2500000000e-01	 3.6733969776e-02	 7.4712125488e-03
