# mu_B [MeV]     	| T_c [MeV]      	| err [MeV]      
 0.0000000000e+00	 1.5808000000e+02	 4.7000000000e-01
 2.0000000000e+01	 1.5803000000e+02	 4.8000000000e-01
 4.0000000000e+01	 1.5792000000e+02	 4.8000000000e-01
 6.0000000000e+01	 1.5772000000e+02	 4.8000000000e-01
 8.0000000000e+01	 1.5745000000e+02	 4.9000000000e-01
 1.0000000000e+02	 1.5708000000e+02	 5.1000000000e-01
 1.2000000000e+02	 1.5663000000e+02	 5.4000000000e-01
 1.4000000000e+02	 1.5608000000e+02	 6.0000000000e-01
 1.6000000000e+02	 1.5543000000e+02	 6.9000000000e-01
 1.8000000000e+02	 1.5467000000e+02	 8.3000000000e-01
 2.0000000000e+02	 1.5377000000e+02	 1.0400000000e+00
 2.2000000000e+02	 1.5272000000e+02	 1.3500000000e+00
 2.4000000000e+02	 1.5150000000e+02	 1.7800000000e+00
 2.6000000000e+02	 1.5004000000e+02	 2.3900000000e+00
 2.8000000000e+02	 1.4829000000e+02	 3.2800000000e+00
 3.0000000000e+02	 1.4616000000e+02	 4.6200000000e+00
