# mu_B [MeV]     	| T_c [MeV]      	| cond           	| susc           
 0.0000000000e+00	 1.5807013479e+02	 2.2283203125e-01	 8.7822642584e-02
 6.0000000000e+01	 1.5753812158e+02	 2.2195312500e-01	 8.8533236648e-02
 1.2000000000e+02	 1.5615223389e+02	 2.2089843750e-01	 8.9511837785e-02
 1.8000000000e+02	 1.5384632343e+02	 2.1896484375e-01	 9.1246782117e-02
 2.4000000000e+02	 1.5067770619e+02	 2.1591796875e-01	 9.4516901859e-02
 3.0000000000e+02	 1.4654410054e+02	 2.1140625000e-01	 9.9338774819e-02
 3.6000000000e+02	 1.4138639264e+02	 2.0484375000e-01	 1.0692394765e-01
 4.2000000000e+02	 1.3537466029e+02	 1.9470703125e-01	 1.2044244263e-01
 4.8000000000e+02	 1.2845337243e+02	 1.8076171875e-01	 1.4515656706e-01
 5.4000000000e+02	 1.2130288415e+02	 1.6435546875e-01	 2.0602789846e-01
 6.0000000000e+02	 1.1420904527e+02	 1.4748046875e-01	 4.2923395674e-01
 6.1500000000e+02	 1.1240921244e+02	 1.4220703125e-01	 6.2504956027e-01
 6.3000000000e+02	 1.1067973699e+02	 1.3734375000e-01	 1.2723243391e+00
 6.3600000000e+02	 1.1005689094e+02	 1.3558593750e-01	 2.4896953493e+00
