# mu_B [MeV]     	| T_c [MeV]      	| cond           	| susc           
 0.0000000000e+00	 1.5813247213e+02	 2.2330078125e-01	 8.8658692157e-02
 6.0000000000e+01	 1.5769330725e+02	 2.2312500000e-01	 8.9038086023e-02
 1.2000000000e+02	 1.5616743188e+02	 2.2101562500e-01	 8.9984139376e-02
 1.8000000000e+02	 1.5381018467e+02	 2.1867187500e-01	 9.1542908582e-02
 2.4000000000e+02	 1.5051052211e+02	 2.1445312500e-01	 9.5177815306e-02
 3.0000000000e+02	 1.4629255033e+02	 2.0912109375e-01	 1.0021009560e-01
 3.6000000000e+02	 1.4107401281e+02	 2.0162109375e-01	 1.0836851803e-01
 4.2000000000e+02	 1.3507628777e+02	 1.9107421875e-01	 1.2339566289e-01
 4.8000000000e+02	 1.2824841672e+02	 1.7753906250e-01	 1.5110230414e-01
 5.4000000000e+02	 1.2118598467e+02	 1.6171875000e-01	 2.1709236764e-01
 6.0000000000e+02	 1.1414134957e+02	 1.4419921875e-01	 5.0105359995e-01
 6.1500000000e+02	 1.1237369952e+02	 1.3892578125e-01	 7.9807144453e-01
 6.3000000000e+02	 1.1064749644e+02	 1.3382812500e-01	 2.1644131262e+00
 6.3600000000e+02	 1.1005084173e+02	 1.3324218750e-01	 8.8916011724e+00
